Entity,Year,Emigration_Rate,Schooling,Happiness,GDP,Unemployment,Undernourishment,Temp_5yr_avg,Collapse_Index
Nicaragua,2015,0.10308164172310968,7.25,5.992,6939.0327,4.7,19.3,0.0914707344,0.22808062121210373
Nicaragua,2020,0.11416930948886009,7.76,5.972,6523.3696,6.201,18.7,0.3756223208333333,0.30306529388994463
Niger,2015,0.019606563776737387,2.44,3.856,1471.6614,0.553,13.3,0.0914707344,0.18637679868249607
Niger,2020,0.01758035114407583,3.04,5.074,1615.6927,0.594,12.0,0.3756223208333333,-0.06791867332586626
Norway,2015,0.019609513086978496,12.11,7.498,85550.3,4.296,2.5,0.0914707344,-1.3246362592256369
Norway,2020,0.020475435816164816,12.08,7.392,86096.055,4.424,2.5,0.3756223208333333,-1.3035430042882983
Pakistan,2015,0.028490909908581347,5.89,5.132,4645.286,3.566,11.8,0.0914707344,0.02147284182246052
Pakistan,2020,0.02711667949529481,6.41,4.934,5135.0146,6.127,15.8,0.3756223208333333,0.22335913376561578
Panama,2015,0.04488421059011109,10.06,6.701,29933.156,4.335,7.0,0.0914707344,-0.5233947354600794
Panama,2020,0.04187821929173602,10.44,6.18,26881.799,14.663,4.7,0.3756223208333333,-0.09584316926200334
Paraguay,2015,0.10958993074644274,8.4,5.538,14427.601,4.556,2.5,0.0914707344,-0.09778017756690807
Paraguay,2020,0.10727101502012268,8.83,5.653,14991.66,7.548,3.4,0.3756223208333333,-0.006049594297527239
Peru,2015,0.043164533197923224,9.61,5.743,14542.793,3.272,5.8,0.0914707344,-0.2779587477206037
Peru,2020,0.04447491741192074,9.96,5.84,13609.6,7.179,6.7,0.3756223208333333,-0.12849488877860765
Philippines,2015,0.056976334201057896,9.14,5.279,7691.763,3.068,10.0,0.0914707344,-0.016496152216891945
Philippines,2020,0.05764643816045268,9.44,5.88,8455.185,2.522,5.8,0.3756223208333333,-0.23854980153264763
Poland,2015,0.10857241175619894,11.84,5.835,31700.37,7.475,2.5,0.0914707344,-0.206681391435035
Poland,2020,0.11437684179392185,12.01,6.166,37852.8,3.155,2.5,0.3756223208333333,-0.4585230505842411
Portugal,2015,0.17373202842280583,9.14,5.123,35803.355,12.447,2.5,0.0914707344,0.22338873819429947
Portugal,2020,0.16677082410243885,9.56,5.929,36852.227,6.801,2.5,0.3756223208333333,-0.14777785814856673
Romania,2015,0.17791101593285255,11.07,5.528,29178.744,6.812,2.5,0.0914707344,0.022130483277477287
Romania,2020,0.21611597946769742,11.28,6.14,35482.195,5.035,2.5,0.3756223208333333,-0.112289879377471
Russia,2015,0.05869329130534469,11.56,5.856,35037.152,5.615,2.5,0.0914707344,-0.43016682875007817
Russia,2020,0.059761690295901254,11.6,5.477,36376.336,5.62,2.5,0.3756223208333333,-0.3701835476062151
Rwanda,2015,0.04264526556899444,4.62,3.515,2238.5393,11.838,34.7,0.0914707344,1.143613767059008
Rwanda,2020,0.037253944216972534,5.24,3.415,2520.3174,11.829,34.7,0.3756223208333333,1.145523071766032
Saudi Arabia,2015,0.005336390286500618,9.34,6.379,58498.54,5.6,4.2,0.0914707344,-0.8333940636612713
Saudi Arabia,2020,0.006955231106527445,9.86,6.494,57420.734,7.66,4.0,0.3756223208333333,-0.7728485323117334
Senegal,2015,0.03825390152422321,3.73,4.219,3593.7947,6.757,9.6,0.0914707344,0.28710722177055714
Senegal,2020,0.03965253412353894,4.4,5.132,4018.0413,3.437,4.7,0.3756223208333333,-0.09868755330951062
