countries,countries_code,year,undernourishment_percent,minimum_calories,cereal_production,cereal_yield,land_usage,population,gdp_per_capita,continent,yearly_mean,yield_index_2001,prod_index_2001,yield_index_z,undernourishment_z,food_stress_score,total_num_of_emigrants,emigrant_index_2000
China,CHN,2005,7.2,1890,427760500.0,5.2246003,81873752.0,1310027135.0,6298.323,Asia,0.092185,108.83903714351186,107.88869045815991,-0.49866438131235336,-0.3344357681462993,0.16422861316605408,6892920.0,121.60085243310377
China,CHN,2006,6.2,1892,451108160.0,5.3134003,84899808.0,1318054030.0,7057.1,Asia,0.044091,110.68892152573797,113.77737925168425,-0.4413411764145551,-0.45134094782476875,-0.009999771410213631,,
China,CHN,2007,5.1,1893,456668100.0,5.3206005,85830048.0,1325813576.0,8013.716,Asia,0.036684,110.83891631773015,115.1796935037621,-0.4366932198840914,-0.5799366454710853,-0.14324342558699388,,
China,CHN,2008,4.0,1894,479263400.0,5.5497003,86358192.0,1333821011.0,8743.745,Asia,0.095789,115.6115305293419,120.87862392746709,-0.28880206248043644,-0.7085323431174017,-0.4197302806369652,,
China,CHN,2009,2.9,1893,482657000.0,5.4496,88566752.0,1342522717.0,9518.433,Asia,0.034867,113.52623794346187,121.73454928742625,-0.35341996796727265,-0.8371280407637182,-0.4837080727964455,,
China,CHN,2010,2.5,1892,497807900.0,5.5275,90060288.0,1351561505.0,10476.3125,Asia,0.13055,115.14905318417598,125.55587164015058,-0.30313305736436186,-0.883890112635106,-0.5807570552707442,8773150.0,154.770767472056
China,CHN,2011,2.5,1891,521255500.0,5.71,91288192.0,1360250658.0,11405.018,Asia,0.011309,118.95089890215196,131.46976705215508,-0.18532354279399868,-0.883890112635106,-0.6985665698411073,,
China,CHN,2012,2.5,1890,541643200.0,5.8287005,92927088.0,1369520866.0,12217.8545,Asia,0.039828,121.42367143720185,136.61190208905967,-0.1086986206884684,-0.883890112635106,-0.7751914919466376,,
China,CHN,2013,2.5,1887,555365200.0,5.8977003,94166632.0,1379008040.0,13080.829,Asia,0.06705,122.86107743266047,140.0728308341562,-0.06415707031338833,-0.883890112635106,-0.8197330423217176,,
China,CHN,2014,2.5,1886,560519000.0,5.8963003,95062912.0,1387951970.0,13968.581,Asia,0.106208,122.83191258879653,141.37270946456567,-0.06506081453475043,-0.883890112635106,-0.8188292981003555,,
China,CHN,2015,2.5,1884,618165300.0,5.9852004,103281872.0,1396134171.0,14856.78,Asia,0.255577,124.68388225735892,155.912116017434,-0.007672991925124467,-0.883890112635106,-0.8762171207099815,10357962.0,182.72909139663543
China,CHN,2016,2.5,1882,614697500.0,6.0186005,102133384.0,1404052628.0,15772.765,Asia,0.439195,125.37967418702998,155.03747611783876,0.0138878276233772,-0.883890112635106,-0.8977779402584831,,
China,CHN,2017,2.5,1880,614070140.0,6.1108003,100489464.0,1412354730.0,16757.973,Asia,0.343641,127.3003833093765,154.87924493743327,0.07340571080959381,-0.883890112635106,-0.9572958234446998,,
China,CHN,2018,2.5,1880,609946700.0,6.122,99631504.0,1419008954.0,17806.791,Asia,0.263885,127.53369581067851,153.8392411460996,0.08063547092101152,-0.883890112635106,-0.9645255835561175,,
China,CHN,2019,2.5,1882,613438340.0,6.2651005,97913144.0,1423520357.0,18820.514,Asia,0.399228,130.51476991021394,154.71989391125985,0.1730113637417025,-0.883890112635106,-1.0569014763768085,,
China,CHN,2020,2.5,1885,616632000.0,6.2961006,97939472.0,1426106093.0,19215.154,Asia,0.432163,131.1605649646897,155.52539090120774,0.19302290748215586,-0.883890112635106,-1.0769130201172619,11169868.0,197.0522609235633
China,CHN,2021,2.5,1890,632772800.0,6.3175,100162416.0,1426437269.0,20843.297,Asia,0.273691,131.60635793596234,159.59638337233835,0.20683689611830375,-0.883890112635106,-1.0907270087534098,,
China,CHN,2022,2.5,1894,633134300.0,6.3813,99216912.0,1425179562.0,21499.383,Asia,0.300865,132.9354415349041,159.68756000412324,0.24802181134893012,-0.883890112635106,-1.131911923984036,,
India,IND,2001,18.3,1723,242963790.0,2.4231002,100271104.0,1077898579.0,3188.8103,Asia,0.092416,100.0,100.0,-0.7725636272030887,0.9632117262847123,1.735775353487801,,
India,IND,2002,19.9,1728,206636700.0,2.1873002,94470896.0,1097600380.0,3250.6956,Asia,0.004266,90.26866491117454,85.04835226681308,-1.074112913518266,1.1502600137702632,2.2243729272885293,,
